bin,bin_high,bin_low,correction_precision,correction_recall,draft_error_rate,mode,preserve,refined_token_ratio,tokens,wrong_edit_rate
3,0.8,0.6000000000000001,0.0,0.0,0.33678593848085375,draft_refine_adapter,1.0,0.0,6372,0.0
4,1.0,0.8,0.0,0.0,0.09003746969363015,draft_refine_adapter,1.0,0.0,9074,0.0
0,0.2,0.0,0.1579542395693136,0.06964985163204748,0.8910440815635841,adapter_gate,0.803921568627451,0.4231745494542686,47276,0.19607843137254902
1,0.4,0.2,0.14559386973180077,0.00394641188077682,0.7181265615094903,adapter_gate,0.9867707368699563,0.02513331095946601,26817,0.013229263130043656
2,0.6000000000000001,0.4,0.0,0.0,0.5380430162373544,adapter_gate,0.9990798675009201,0.0005950862875116892,11763,0.0009201324990798675
3,0.8,0.6000000000000001,0.0,0.0,0.33678593848085375,adapter_gate,1.0,0.0,6372,0.0
4,1.0,0.8,0.0,0.0,0.09003746969363015,adapter_gate,1.0,0.0,9074,0.0
0,0.2,0.0,0.13116688960579118,0.0395727002967359,0.8910440815635841,oracle_refine_mask,1.0,0.2902952872493443,47276,0.0
1,0.4,0.2,0.17936893203883494,0.03837366289334303,0.7181265615094903,oracle_refine_mask,1.0,0.17783495543871425,26817,0.0
2,0.6000000000000001,0.4,0.19336569579288027,0.03776267972823511,0.5380430162373544,oracle_refine_mask,1.0,0.1246280710703052,11763,0.0
3,0.8,0.6000000000000001,0.1574074074074074,0.03168685927306617,0.33678593848085375,oracle_refine_mask,1.0,0.08066541117388575,6372,0.0
4,1.0,0.8,0.1358695652173913,0.030599755201958383,0.09003746969363015,oracle_refine_mask,1.0,0.023583865990742782,9074,0.0
0,0.2,0.0,0.15341493519851881,0.07081305637982196,0.8910440815635841,error_aware_refine,0.8070277615996894,0.4375158642863186,47276,0.1929722384003106
1,0.4,0.2,0.5,5.1926472115484474e-05,0.7181265615094903,error_aware_refine,1.0,0.00011186933661483388,26817,0.0
2,0.6000000000000001,0.4,0.0,0.0,0.5380430162373544,error_aware_refine,1.0,0.0,11763,0.0
3,0.8,0.6000000000000001,0.0,0.0,0.33678593848085375,error_aware_refine,1.0,0.0,6372,0.0
4,1.0,0.8,0.0,0.0,0.09003746969363015,error_aware_refine,1.0,0.0,9074,0.0
0,0.2,0.0,0.15891238670694863,0.07491988130563798,0.8910440815635841,error_aware_adapter,0.8099398175111628,0.4375158642863186,47276,0.19006018248883713
1,0.4,0.2,0.5,5.1926472115484474e-05,0.7181265615094903,error_aware_adapter,1.0,0.00011186933661483388,26817,0.0
2,0.6000000000000001,0.4,0.0,0.0,0.5380430162373544,error_aware_adapter,1.0,0.0,11763,0.0
3,0.8,0.6000000000000001,0.0,0.0,0.33678593848085375,error_aware_adapter,1.0,0.0,6372,0.0
4,1.0,0.8,0.0,0.0,0.09003746969363015,error_aware_adapter,1.0,0.0,9074,0.0
0,0.2,0.0,0.162036798433232,0.07463501483679526,0.8910440815635841,error_aware_adapter_gate,0.8210056299747622,0.4375158642863186,47276,0.17899437002523783
1,0.4,0.2,0.5,5.1926472115484474e-05,0.7181265615094903,error_aware_adapter_gate,1.0,0.00011186933661483388,26817,0.0
2,0.6000000000000001,0.4,0.0,0.0,0.5380430162373544,error_aware_adapter_gate,1.0,0.0,11763,0.0
3,0.8,0.6000000000000001,0.0,0.0,0.33678593848085375,error_aware_adapter_gate,1.0,0.0,6372,0.0
4,1.0,0.8,0.0,0.0,0.09003746969363015,error_aware_adapter_gate,1.0,0.0,9074,0.0
0,0.2,0.0,0.15471381354598396,0.07000593471810089,0.8910440815635841,utility_gate,0.788196466705494,0.4231745494542686,47276,0.2118035332945059
1,0.4,0.2,0.13743218806509946,0.00394641188077682,0.7181265615094903,utility_gate,0.9850509326630507,0.02513331095946601,26817,0.014949067336949331
2,0.6000000000000001,0.4,0.0,0.0,0.5380430162373544,utility_gate,0.9990798675009201,0.0005950862875116892,11763,0.0009201324990798675
3,0.8,0.6000000000000001,0.0,0.0,0.33678593848085375,utility_gate,1.0,0.0,6372,0.0
4,1.0,0.8,0.0,0.0,0.09003746969363015,utility_gate,1.0,0.0,9074,0.0
