nohup: ignoring input
device=cuda
Using the latest cached version of the dataset since wikitext couldn't be found on the Hugging Face Hub
Found the latest cached dataset configuration 'wikitext-2-raw-v1' at /home/enzeyu/.cache/huggingface/datasets/wikitext/wikitext-2-raw-v1/0.0.0/b08601e04326c79dfdd32d625aee71d232d685c3 (last modified on Sat May  9 08:55:42 2026).
model_backend=mdlm
pretrained_edge_loaded=True
edge_model_status=loaded pretrained edge MDLM from /mnt/data/enzeyu/hf_downloads/models/mdlm-no_flashattn-fp32-owt via HF_ENDPOINT=https://hf-mirror.com/; MDLM custom vocab_embed already matches vocab_size=50258; patched flash-attn rotary kernel
edge_model_is_toy=False
step=6600 loss=16.8690 edge_loss=1.9113 device_loss=12.2939 align=231.1198 acc=0.6115 step_time=0.131s gpu_mem=5913.3MB
step=6700 loss=16.1937 edge_loss=1.5291 device_loss=11.6927 align=226.1601 acc=0.7237 step_time=0.133s gpu_mem=5913.3MB
step=6800 loss=16.6188 edge_loss=1.9916 device_loss=11.0150 align=230.6736 acc=0.5500 step_time=0.132s gpu_mem=5913.3MB
step=6900 loss=17.1632 edge_loss=1.7550 device_loss=11.2629 align=245.2367 acc=0.5879 step_time=0.132s gpu_mem=5913.3MB
step=7000 loss=19.3454 edge_loss=1.8619 device_loss=12.6582 align=280.0603 acc=0.6338 step_time=0.132s gpu_mem=5913.3MB
step=7100 loss=16.1651 edge_loss=1.4545 device_loss=9.4878 align=239.1653 acc=0.7292 step_time=0.132s gpu_mem=5913.3MB
step=7200 loss=15.8028 edge_loss=1.4361 device_loss=10.0711 align=228.9011 acc=0.6543 step_time=0.133s gpu_mem=5913.3MB
step=7300 loss=18.4091 edge_loss=1.4990 device_loss=10.3684 align=279.0487 acc=0.6494 step_time=0.132s gpu_mem=5913.3MB
step=7400 loss=15.2811 edge_loss=1.6951 device_loss=9.6286 align=217.2446 acc=0.6301 step_time=0.131s gpu_mem=5913.3MB
step=7500 loss=15.6996 edge_loss=1.5270 device_loss=10.1786 align=224.6468 acc=0.6608 step_time=0.134s gpu_mem=5913.3MB
step=7600 loss=16.3073 edge_loss=1.7840 device_loss=10.3993 align=231.6974 acc=0.6324 step_time=0.132s gpu_mem=5913.3MB
step=7700 loss=14.9333 edge_loss=1.2456 device_loss=9.7729 align=217.7230 acc=0.7256 step_time=0.134s gpu_mem=5913.3MB
step=7800 loss=16.1770 edge_loss=1.4848 device_loss=9.5835 align=238.8370 acc=0.6712 step_time=0.133s gpu_mem=5913.3MB
step=7900 loss=16.2498 edge_loss=1.7367 device_loss=10.0348 align=233.2535 acc=0.5986 step_time=0.133s gpu_mem=5913.3MB
step=8000 loss=16.4882 edge_loss=1.5738 device_loss=11.2386 align=234.8230 acc=0.6486 step_time=0.133s gpu_mem=5913.3MB
step=8100 loss=16.1818 edge_loss=1.7096 device_loss=9.5085 align=234.3369 acc=0.6392 step_time=0.133s gpu_mem=5913.3MB
step=8200 loss=16.6667 edge_loss=1.9224 device_loss=10.6469 align=234.8832 acc=0.5821 step_time=0.132s gpu_mem=5913.3MB
step=8300 loss=16.5115 edge_loss=2.0777 device_loss=10.3703 align=230.2754 acc=0.5849 step_time=0.132s gpu_mem=5913.3MB
step=8400 loss=16.5456 edge_loss=1.3673 device_loss=9.6282 align=248.4480 acc=0.7192 step_time=0.133s gpu_mem=5913.3MB
step=8500 loss=17.3838 edge_loss=1.4593 device_loss=9.8156 align=262.5565 acc=0.6617 step_time=0.132s gpu_mem=5913.3MB
step=8600 loss=16.0858 edge_loss=1.5999 device_loss=9.8381 align=234.3934 acc=0.6049 step_time=0.133s gpu_mem=5913.3MB
step=8700 loss=16.1503 edge_loss=1.6462 device_loss=9.4994 align=235.8542 acc=0.6855 step_time=0.134s gpu_mem=5913.3MB
step=8800 loss=17.3937 edge_loss=1.9631 device_loss=11.0947 align=246.4260 acc=0.5844 step_time=0.132s gpu_mem=5913.3MB
step=8900 loss=16.6804 edge_loss=1.6240 device_loss=9.6312 align=246.5205 acc=0.6474 step_time=0.133s gpu_mem=5913.3MB
step=9000 loss=16.5803 edge_loss=1.9268 device_loss=9.7451 align=239.1618 acc=0.6200 step_time=0.133s gpu_mem=5913.3MB
step=9100 loss=16.3377 edge_loss=1.5409 device_loss=10.4543 align=236.5099 acc=0.6582 step_time=0.132s gpu_mem=5913.3MB
step=9200 loss=16.0737 edge_loss=1.3560 device_loss=9.6344 align=239.8125 acc=0.6903 step_time=0.133s gpu_mem=5913.3MB
step=9300 loss=16.1538 edge_loss=1.2338 device_loss=8.8615 align=246.8954 acc=0.7113 step_time=0.131s gpu_mem=5913.3MB
step=9400 loss=15.4526 edge_loss=2.0525 device_loss=8.5757 align=219.7393 acc=0.6000 step_time=0.132s gpu_mem=5913.3MB
step=9500 loss=15.5643 edge_loss=1.5398 device_loss=9.2798 align=228.1764 acc=0.6711 step_time=0.132s gpu_mem=5913.3MB
step=9600 loss=15.6120 edge_loss=1.6028 device_loss=9.7570 align=225.7560 acc=0.6835 step_time=0.132s gpu_mem=5913.3MB
step=9700 loss=15.9720 edge_loss=1.9582 device_loss=10.0621 align=224.4741 acc=0.5714 step_time=0.133s gpu_mem=5913.3MB
step=9800 loss=15.1346 edge_loss=1.1357 device_loss=8.1749 align=232.3087 acc=0.7174 step_time=0.132s gpu_mem=5913.3MB
step=9900 loss=16.4727 edge_loss=1.9006 device_loss=8.1516 align=245.4375 acc=0.5449 step_time=0.133s gpu_mem=5913.3MB
step=10000 loss=15.3728 edge_loss=1.9197 device_loss=8.9609 align=218.6023 acc=0.6168 step_time=0.132s gpu_mem=5913.3MB
step=10100 loss=15.2401 edge_loss=1.3448 device_loss=8.4892 align=229.3126 acc=0.6899 step_time=0.132s gpu_mem=5913.3MB
step=10200 loss=15.6682 edge_loss=2.0728 device_loss=9.8404 align=217.5059 acc=0.6184 step_time=0.132s gpu_mem=5913.3MB
step=10300 loss=15.7100 edge_loss=1.4738 device_loss=9.5841 align=230.4966 acc=0.6875 step_time=0.133s gpu_mem=5913.3MB
step=10400 loss=16.1058 edge_loss=1.9906 device_loss=9.2122 align=231.3190 acc=0.5674 step_time=0.132s gpu_mem=5913.3MB
step=10500 loss=15.4167 edge_loss=1.6408 device_loss=8.8950 align=224.6757 acc=0.7063 step_time=0.133s gpu_mem=5913.3MB
step=10600 loss=16.3159 edge_loss=1.6838 device_loss=9.3032 align=240.0345 acc=0.6275 step_time=0.132s gpu_mem=5913.3MB
step=10700 loss=15.1439 edge_loss=1.3282 device_loss=8.5057 align=227.6831 acc=0.6607 step_time=0.132s gpu_mem=5913.3MB
step=10800 loss=15.7442 edge_loss=1.5305 device_loss=8.7569 align=234.7035 acc=0.6928 step_time=0.133s gpu_mem=5913.3MB
step=10900 loss=15.7706 edge_loss=1.8378 device_loss=8.6154 align=229.6599 acc=0.6309 step_time=0.133s gpu_mem=5913.3MB
step=11000 loss=16.8892 edge_loss=1.8126 device_loss=8.8060 align=251.9319 acc=0.6159 step_time=0.133s gpu_mem=5913.3MB
step=11100 loss=14.9710 edge_loss=1.9327 device_loss=8.5242 align=212.8478 acc=0.6149 step_time=0.131s gpu_mem=5913.3MB
step=11200 loss=15.6969 edge_loss=1.9413 device_loss=9.2256 align=224.7796 acc=0.5897 step_time=0.134s gpu_mem=5913.3MB
step=11300 loss=16.2853 edge_loss=2.0356 device_loss=9.6235 align=232.4490 acc=0.6294 step_time=0.133s gpu_mem=5913.3MB
step=11400 loss=15.4725 edge_loss=1.6883 device_loss=8.1498 align=229.9419 acc=0.6323 step_time=0.134s gpu_mem=5913.3MB
step=11500 loss=14.5522 edge_loss=1.5538 device_loss=8.3714 align=211.9545 acc=0.6689 step_time=0.133s gpu_mem=5913.3MB
step=11600 loss=15.0451 edge_loss=1.4478 device_loss=9.1488 align=220.0421 acc=0.6832 step_time=0.133s gpu_mem=5913.3MB
step=11700 loss=15.6959 edge_loss=2.0086 device_loss=8.5859 align=225.1009 acc=0.5793 step_time=0.133s gpu_mem=5913.3MB
step=11800 loss=15.5657 edge_loss=1.8645 device_loss=8.4182 align=226.8554 acc=0.6096 step_time=0.133s gpu_mem=5913.3MB
step=11900 loss=15.9248 edge_loss=1.5330 device_loss=8.1768 align=240.7460 acc=0.6730 step_time=0.134s gpu_mem=5913.3MB
step=12000 loss=16.0698 edge_loss=1.3549 device_loss=8.8789 align=245.4595 acc=0.6790 step_time=0.133s gpu_mem=5913.3MB
step=12100 loss=14.7167 edge_loss=1.1322 device_loss=8.4322 align=223.4115 acc=0.7530 step_time=0.132s gpu_mem=5913.3MB
step=12200 loss=14.6037 edge_loss=1.1625 device_loss=7.8601 align=223.3458 acc=0.7162 step_time=0.132s gpu_mem=5913.3MB
step=12300 loss=15.1738 edge_loss=1.6207 device_loss=8.4131 align=224.2872 acc=0.6053 step_time=0.132s gpu_mem=5913.3MB
step=12400 loss=15.1721 edge_loss=1.4350 device_loss=8.6935 align=225.7288 acc=0.6690 step_time=0.133s gpu_mem=5913.3MB
step=12500 loss=16.3222 edge_loss=1.7020 device_loss=8.8040 align=242.8766 acc=0.6621 step_time=0.132s gpu_mem=5913.3MB
